Source;Location;Type;Cancer;Samples
Patient;Transcriptome;Microarray (GSE2109);Ovary Mixed endometrioid and papillary serous adenocarcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Ovary Mixed epithelial tumor;2
Patient;Transcriptome;Microarray (GSE2109);Ovary Mucinous Adenocarcinoma;6
Patient;Transcriptome;Microarray (GSE2109);Ovary Mucinous Carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Ovary Mucinous cystadenocarcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Ovary Mucinous cystic tumor of low malignant potential;4
Patient;Transcriptome;Microarray (GSE2109);Ovary Papillary cystadenocarcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Ovary Papillary mucinous cystadenocarcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Ovary Papillary Serous Adenocarcinoma;32
Patient;Transcriptome;Microarray (GSE2109);Ovary Papillary Serous Carcinoma;32
Patient;Transcriptome;Microarray (GSE2109);Ovary Papillary serous cystadenocarcinoma;6
Patient;Transcriptome;Microarray (GSE2109);Ovary Papillary serous tumor of low malignant potential;5
Patient;Transcriptome;Microarray (GSE2109);Ovary Serous Adenocarinoma;15
Patient;Transcriptome;Microarray (GSE2109);Ovary Sertoli-Leydig cell tumor, poorly differentiated;1
Patient;Transcriptome;Microarray (GSE2109);Ovary Signet Ring Cell Carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Ovary Transitional cell carcinoma;2
Patient;Transcriptome;Microarray (GSE2109);Ovary Undifferentiated Carcinoma;2
Patient;Transcriptome;Microarray (GSE2109);Pancreas Adenocarcinoma, NOS;3
Patient;Transcriptome;Microarray (GSE2109);Pancreas Carcinoma with osteoclast-like giant cells;1
Patient;Transcriptome;Microarray (GSE2109);Pancreas Colloid Adenocarcinoma w/Intraductal Papillary Mucinous Tumor;1
Patient;Transcriptome;Microarray (GSE2109);Pancreas Ductal adenocarcinoma;10
Patient;Transcriptome;Microarray (GSE2109);Pancreas Mucinous Adenocarcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Para aortic tissue Mixed germ cell tumor;1
Patient;Transcriptome;Microarray (GSE2109);Parotid Gland Epithelial-myoepithelial carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Parotid Gland Keratinizing Squamous Cell Carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Parotid Gland Large cell carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Parotid Gland Mucoepidermoid Carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Parotid Lymph Node Malignant melanoma, NOS;1
Patient;Transcriptome;Microarray (GSE2109);Pelvic Lymph Node Follicular lymphoma;1
Patient;Transcriptome;Microarray (GSE2109);Pelvic Lymph Node Squamous cell carcinoma;2
Patient;Transcriptome;Microarray (GSE2109);Pelvic Malignant mixed muellerian tumor;1
Patient;Transcriptome;Microarray (GSE2109);Pelvic Papillary endometrioid adenocarcinoma of low malignant potential;1
Patient;Transcriptome;Microarray (GSE2109);Pelvic Papillary Serous Adenocarcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Penis Squamous cell carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Peritoneum Adenocarcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Prostate Adenocarcinoma, Acinar Type;83
Patient;Transcriptome;Microarray (GSE2109);Rectosigmoid Adenocarcinoma;32
Patient;Transcriptome;Microarray (GSE2109);Rectosigmoid Adenocarcinoma arising in a villous adenoma;1
Patient;Transcriptome;Microarray (GSE2109);Rectosigmoid Adenocarcinoma in adenomatous polyp;1
Patient;Transcriptome;Microarray (GSE2109);Rectosigmoid Colon Adenocarcinoma;7
Patient;Transcriptome;Microarray (GSE2109);Rectosigmoid Colon Adenocarcinoma In Situ in a Villous Adenoma;1
Patient;Transcriptome;Microarray (GSE2109);Rectosigmoid Junction Mucinous Carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Rectum Adenocarcinoma;30
Patient;Transcriptome;Microarray (GSE2109);Rectum Adenocarcinoma in adenomatous polyp;1
Patient;Transcriptome;Microarray (GSE2109);Rectum Carcinoma in situ arising in a villous adenoma;1
Patient;Transcriptome;Microarray (GSE2109);Rectum Mucinous Carcinoma;3
Patient;Transcriptome;Microarray (GSE2109);Rectum Signet Ring Cell Carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Renal Pelvis Oncocytoma;1
Patient;Transcriptome;Microarray (GSE2109);Renal Pelvis Papillary transitional cell carcinoma;3
Patient;Transcriptome;Microarray (GSE2109);Renal Pelvis Squamous cell carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Renal Pelvis Transitional cell carcinoma;2
Patient;Transcriptome;Microarray (GSE2109);Renal Pelvis Urothelial (transitional cell) carcinoma;3
Patient;Transcriptome;Microarray (GSE2109);Retroperitoneal Mass Liposarcoma;1
Patient;Transcriptome;Microarray (GSE2109);Retroperitoneal Mass Spindle Cell Sarcoma;1
Patient;Transcriptome;Microarray (GSE2109);Retroperitoneum Dedifferentiated liposarcoma;1
Patient;Transcriptome;Microarray (GSE2109);Retroperitoneum Leiomyosarcoma;1
Patient;Transcriptome;Microarray (GSE2109);Sigmoid Colon Adenocarcinoma;4
Patient;Transcriptome;Microarray (GSE2109);Sigmoid Colon Adenocarcinoma arising in a villous adenoma;1
Patient;Transcriptome;Microarray (GSE2109);Skin Squamous cell carcinoma, NOS;1
Patient;Transcriptome;Microarray (GSE2109);Small Intestine Adenocarcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Small Intestine Adenocarcinoma arising in tubular adenoma;1
Patient;Transcriptome;Microarray (GSE2109);Small Intestine B-cell lymphoma, NOS;1
Patient;Transcriptome;Microarray (GSE2109);Small Intestine Carcinoid Tumor;1
Patient;Transcriptome;Microarray (GSE2109);Small Intestine Gastrointestinal Stromal Tumor (GIST);1
Patient;Transcriptome;Microarray (GSE2109);Small Intestine Malignant lymphoma, large B-cell, diffuse, immunoblastic, NOS;1
Patient;Transcriptome;Microarray (GSE2109);Small Intestine Neuroendocrine carcinoma, NOS;1
Patient;Transcriptome;Microarray (GSE2109);Soft Tissue Carcinoma, NOS;1
Patient;Transcriptome;Microarray (GSE2109);Soft Tissue Cellular Schwannoma;1
Patient;Transcriptome;Microarray (GSE2109);Soft Tissue Ewings sarcoma/primitive neuroectodermal tumor;1
Patient;Transcriptome;Microarray (GSE2109);Soft Tissue Leiomyosarcoma;4
Patient;Transcriptome;Microarray (GSE2109);Soft Tissue Liposarcoma;1
Patient;Transcriptome;Microarray (GSE2109);Soft Tissue Malignant fibrous histiocytoma;1
Patient;Transcriptome;Microarray (GSE2109);Soft Tissue Malignant peripheral nerve sheath tumor;1
Patient;Transcriptome;Microarray (GSE2109);Soft Tissue Myxoid liposarcoma;3
Patient;Transcriptome;Microarray (GSE2109);Soft Tissue Myxoid pleomorphic spindle cell sarcoma;1
Patient;Transcriptome;Microarray (GSE2109);Soft Tissue Pleomorphic sarcoma;7
Patient;Transcriptome;Microarray (GSE2109);Soft Tissue Sarcoma, NOS;1
Patient;Transcriptome;Microarray (GSE2109);Soft Tissue Serous Adenocarcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Soft Tissue Synovial sarcoma;1
Patient;Transcriptome;Microarray (GSE2109);Soft Tissue Undifferentiated sarcoma;1
Patient;Transcriptome;Microarray (GSE2109);Spinal cord Ependymoma, myxopapillary;1
Patient;Transcriptome;Microarray (GSE2109);Spleen Carcinoma, NOS;1
Patient;Transcriptome;Microarray (GSE2109);Spleen Follicular lymphoma;1
Patient;Transcriptome;Microarray (GSE2109);Spleen Splenic marginal zone B-cell lymphoma;1
Patient;Transcriptome;Microarray (GSE2109);Stomach (Gastroesophageal junction) Signet Ring Cell Carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Stomach Adenocarcinoma;3
Patient;Transcriptome;Microarray (GSE2109);Stomach Adenocarcinoma Diffuse Type;1
Patient;Transcriptome;Microarray (GSE2109);stomach Adenocarcinoma, intestinal type;1
Patient;Transcriptome;Microarray (GSE2109);Stomach Gastrointestinal stromal tumor;2
Patient;Transcriptome;Microarray (GSE2109);Stomach Signet Ring Cell Carcinoma;2
Patient;Transcriptome;Microarray (GSE2109);Stomach Solitary fibrous tumor, benign;1
Patient;Transcriptome;Microarray (GSE2109);Stomach Spindle Cell Sarcoma;1
Patient;Transcriptome;Microarray (GSE2109);Stomach Tubular adenocarcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Superior mediastinal lymph node Papillary carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Supraclavicular Lymph Node Malignant lymphoma, small B-cell lymphocytic;1
Patient;Transcriptome;Microarray (GSE2109);Supraclavicular Lymph Node Squamous cell carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Testis Anaplastic seminoma;1
Patient;Transcriptome;Microarray (GSE2109);Testis Malignant Lymphoma, Diffuse Large B-Cell Type;1
Patient;Transcriptome;Microarray (GSE2109);Testis Mixed germ cell tumor;1
Patient;Transcriptome;Microarray (GSE2109);Testis Seminoma, NOS;1
Patient;Transcriptome;Microarray (GSE2109);Thyroid Carcinoma, anaplastic;1
Patient;Transcriptome;Microarray (GSE2109);Thyroid Carcinoma, undifferentiated;1
Patient;Transcriptome;Microarray (GSE2109);Thyroid Follicular adenocarcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Thyroid Hurthle cell adenocarcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Thyroid Medullary Carcinoma, NOS;1
Patient;Transcriptome;Microarray (GSE2109);Thyroid Minimally invasive follicular carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Thyroid Papillary adenocarcinoma;2
Patient;Transcriptome;Microarray (GSE2109);Thyroid Papillary carcinoma;14
Patient;Transcriptome;Microarray (GSE2109);Thyroid Papillary carcinoma, follicular variant;9
Patient;Transcriptome;Microarray (GSE2109);Thyroid Papillary carcinoma, oncocytic variant;1
Patient;Transcriptome;Microarray (GSE2109);Thyroid Papillary carcinoma, tall cell variant;1
Patient;Transcriptome;Microarray (GSE2109);Tongue Squamous cell carcinoma;2
Patient;Transcriptome;Microarray (GSE2109);Ureter Papillary transitional cell carcinoma;2
Patient;Transcriptome;Microarray (GSE2109);Ureter Transitional cell carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Ureter Urothelial (transitional cell) carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Ureterovesicle junction Urothelial (transitional cell) carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Urinary Bladder Keratinizing Squamous Cell Carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Urinary Bladder Papillary carcinoma;7
Patient;Transcriptome;Microarray (GSE2109);Urinary Bladder Urothelial (transitional cell) carcinoma;12
Patient;Transcriptome;Microarray (GSE2109);Urinary Tract, NOS Papillary transitional cell carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Uterine Cervix Squamous cell carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Uterine Corpus Endometrioid carcinoma;3
Patient;Transcriptome;Microarray (GSE2109);Uterus Adenocarcinoma;2
Patient;Transcriptome;Microarray (GSE2109);Uterus Adenocarcinoma with squamous metaplasia;1
Patient;Transcriptome;Microarray (GSE2109);Uterus Adenosquamous Carcinoma;4
Patient;Transcriptome;Microarray (GSE2109);Uterus Carcinosarcoma;1
Patient;Transcriptome;Microarray (GSE2109);Uterus Clear cell adenocarcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Uterus Endometrioid Adenocarcinoma;10
Patient;Transcriptome;Microarray (GSE2109);Uterus Endometrioid carcinoma;79
Patient;Transcriptome;Microarray (GSE2109);Uterus Leiomyosarcoma;4
Patient;Transcriptome;Microarray (GSE2109);Uterus Malignant Mixed mesodermal tumor;1
Patient;Transcriptome;Microarray (GSE2109);Uterus Malignant mixed muellerian tumor;11
Patient;Transcriptome;Microarray (GSE2109);Uterus Mixed Cell Adenocarcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Uterus Mixed clear cell and endometrioid adenocarcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Uterus Mixed endometrioid and serous adenocarcinoma;4
Patient;Transcriptome;Microarray (GSE2109);Uterus Papillary Serous Carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Uterus Sarcoma, NOS;1
Patient;Transcriptome;Microarray (GSE2109);Uterus Serous adenocarcinoma (papillary serous);2
Patient;Transcriptome;Microarray (GSE2109);Uterus Serous cystadenocarcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Uterus Squamous cell carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Uterus Undifferentiated Carcinoma;1
Patient;Transcriptome;Microarray (GSE2109);Vagina Adenocarcinoma, mixed epithelial type;1
Patient;Transcriptome;Microarray (GSE2109);Vaginal Muellerian adenosarcoma with rhabdomyosarcomatous ;1
Patient;Transcriptome;Microarray (GSE2109);Vaginal Squamous cell carcinoma, non-keratinizing;1
Patient;Transcriptome;Microarray (GSE2109);Vulva Basal Cell carcinoma, NOS;1
Patient;Transcriptome;Microarray (GSE2109);Vulva Keratinizing Squamous Cell Carcinoma;6
Patient;Transcriptome;Microarray (GSE2109);Vulva Nodular melanoma;1
Patient;Transcriptome;Microarray (GSE2109);Vulva Squamous cell carcinoma;3
Patient;Transcriptome;Microarray (GSE2109);Vulvar Malignant mixed muellerian tumor;1
Patient;Proteome;Mass Spec (ProteomePatients);Breast Cancer ERPR;1
Patient;Proteome;Mass Spec (ProteomePatients);Breast Cancer HER2;1
Patient;Proteome;Mass Spec (ProteomePatients);Breast Cancer TN;1
Patient;Proteome;Mass Spec (ProteomePatients);Breast Cancer;2
Patient;Proteome;Mass Spec (ProteomePatients);Gastric Cancer;1
Patient;Proteome;Mass Spec (ProteomePatients);Oral Cancer Front;1
Patient;Proteome;Mass Spec (ProteomePatients);Oral Cancer Inner;1
Patient;Proteome;Mass Spec (ProteomePatients);Prostate Cancer Acinar Adenocarcinoma;1
Patient;Proteome;Mass Spec (ProteomePatients);Prostate Cancer Ductal Adenocarcinoma;1
